participant_id,task_type,item,case_type,attempt_number,query_mode,dtw_distance,smoothness_score,accuracy_score,direction_score,pause_count,avg_speed,speed_cv,duration_ms,stroke_count,total_distance,motor_score,score_version
RS03,shape,zigzag,,1,initial_assessment,,87,100,100,0,0.31410317811759314,0.931695061040006,1242,,390.1161472220507,97,v1
RS03,shape,horizontal_line,,1,initial_assessment,,94,0,100,0,0.421415414634427,0.8179678340128576,474,,199.7509065367184,64,v1
RS03,shape,half_circle,,1,initial_assessment,,94,89,100,0,0.580149437035137,0.8868798002232935,865,,501.8292630353935,93,v1
RS03,shape,horizontal_line,,1,initial_assessment,,97,90,100,0,0.49242276807667473,0.5418162791554779,719,,354.05197024712913,96,v1
RS03,shape,full_circle,,1,initial_assessment,,90,48,100,0,0.40803716254875805,0.8293196504345102,1368,,558.194838366701,79,v1
RS03,shape,curve_wave,,1,initial_assessment,,90,100,100,0,0.7474016779095336,1.4266411656583091,637,,476.0948688283729,93,v1
RS03,shape,horizontal_line,,1,initial_assessment,,95,70,100,0,0.517631480663637,0.6115310066866938,674,1,348.88361796729134,88,v1
RS03,shape,vertical_line,,1,initial_assessment,,93,83,100,0,0.47554058834832474,0.6255328019620979,528,1,251.08543064791547,92,v1
RS02,shape,vertical_line,,1,initial_assessment,,93,94,100,0,0.10842654763072818,1.1590978363267568,2746,1,297.73929979397957,96,v1
RS03,shape,full_circle,,1,initial_assessment,,91,20,100,0,0.2927865813299509,0.6834139748578789,729,1,213.4414177895342,70,v1
RS03,shape,half_circle,,1,initial_assessment,,90,5,100,0,0.3790550028713302,1.2556321372517454,818,,310.0669923487481,64,v1
RS03,shape,half_circle,,1,initial_assessment,,93,0,100,0,0.33000509928758925,0.5743181720147972,623,1,205.5931768561681,63,v1
RS03,shape,zigzag,,1,initial_assessment,5.279401525128365,87,,100,0,0.27708725730396744,0.5280263287709537,1183,1,327.7942253905935,93,v1
RS03,shape,vertical_line,,1,initial_assessment,,95,2,100,0,0.3249480256669864,0.8486640075073857,706,,229.4133061208924,64,v1
RS03,shape,zigzag,,1,initial_assessment,16.88226247719115,86,,100,0,0.4043440816800898,1.0120067275043079,1661,,671.6155196706292,83,v1
RS03,shape,curve_wave,,1,initial_assessment,4.668094446522714,90,,100,0,0.3779753024495478,0.5611755771056668,800,1,302.3802419596382,94,v1
RS03,shape,vertical_line,,1,initial_assessment,,96,86,100,0,0.38122524439700733,1.061324079283171,225,,85.77567998932665,94,v1
RS03,shape,half_circle,,1,initial_assessment,,89,39,100,0,0.7975994201207212,0.6158456082731172,487,1,388.4309175987912,70,v1
RS03,shape,curve_wave,,1,initial_assessment,29.109065221101982,83,,100,0,0.8154158191065463,0.44851906389270113,581,1,473.75659090090335,72,v1
RS03,shape,full_circle,,1,initial_assessment,,92,83,100,0,0.48345054685012034,0.9399708635589303,1486,,718.4075126192788,92,v1
RS03,shape,half_circle,,1,initial_assessment,,94,90,100,0,0.34282603185016036,0.9942022748140934,1367,1,468.6431855391692,95,v1
RS03,shape,curve_wave,,1,initial_assessment,4.84077766225271,87,,100,0,0.2610464875711352,0.5270567665674725,1567,1,409.0598460239689,94,v1
RS03,shape,horizontal_line,,1,initial_assessment,,92,0,100,0,0.7513883104349575,0.7630059455670052,327,1,245.7039775122311,58,v1
RS03,shape,vertical_line,,1,initial_assessment,,92,9,100,0,0.8418561087697132,1.142920206921842,243,1,204.5710344310403,59,v1
RS03,shape,full_circle,,1,initial_assessment,,93,0,100,0,0.6359299508764306,0.9562961509112895,236,1,150.0794684068376,61,v1
RS03,shape,curve_wave,,1,initial_assessment,,92,100,100,0,0.49920105645021173,1.3668635944529643,887,,442.7913370713378,98,v1
RS03,shape,half_circle,,1,initial_assessment,,95,0,100,0,0.8125391608150132,1.7791091152479102,264,1,214.5103384551635,57,v1
